name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;79;0;102;3081;915;3081;892;0
header;41;87;41;122;1718;122;1718;87
A;858;150;858;178;881;178;881;150
A;756;171;756;183;761;183;761;171
A;765;474;765;481;770;481;770;474
A;505;610;505;616;510;616;510;610
B;866;828;866;857;886;857;886;828
A;165;967;165;974;171;974;171;967
A;113;1473;113;1478;119;1478;119;1473
C;869;1507;869;1534;888;1534;888;1507
B;91;1907;91;1924;115;1924;115;1907
A;730;1996;730;2001;736;2001;736;1996
A;843;2175;843;2180;849;2180;849;2175
D;867;2185;867;2213;888;2213;888;2185
A;538;2308;538;2315;544;2315;544;2308
A;110;2366;110;2373;115;2373;115;2366
A;285;2444;285;2449;291;2449;291;2444
