name;ul_x;ul_y;ll_x;ll_y;lr_x;lr_y;ur_x;ur_y
columnsep;1069;0;1046;3075;1531;3075;1393;0
header;191;72;191;106;1934;106;1934;72
A;1109;1930;1109;1934;1114;1934;1114;1930
A;1426;1933;1426;1938;1431;1938;1431;1933
A;1286;2199;1286;2203;1291;2203;1291;2199
A;1312;2333;1312;2338;1317;2338;1317;2333
D;1075;2644;1075;2659;1088;2659;1088;2644
A;1302;2727;1302;2727;1302;2727;1302;2727
A;1110;2732;1110;2737;1116;2737;1116;2732
A;1376;2786;1376;2786;1377;2786;1377;2786
A;1076;2810;1076;2810;1076;2810;1076;2810
A;1193;2811;1193;2812;1194;2812;1194;2811
